Name,Age,Gender,Rope Jungle,Transition 1,Double Salmon Ladder,Transition 2,Unstable Bridge,Transition 3,Butterfly Wall,Transition 4,Roulette Row,Transition 5,Wall Lift,Total,Result
Jo Jo Bynum,37,M,19.04,11.31,,,,,,,,,,31.01,Failed
Daniel Gil,22,M,16.5,5.37,20.93,5.9,15.71,12.83,16.03,11.74,,,,105.01,Failed
Dustin McKinney,29,M,,,,,,,,,,,,0,Failed
Kevin Klein (NS),,M,F,,,,,,,,,,,0,Failed
Tremayne Dortch (NS),,M,,,,,F,,,,,,,,Failed
Brandon Mears (NS),,M,,,,,F,,,,,,,,Failed
Jamie Rahn (PS),27,M,,,,,,22.46,14.04,10.4,,,,122.14,Failed
Grant McCartney,27,M,20.8,11.61,,,,,,,,,,32.41,Failed
Dan Yager,32,M,15.24,4.5,20.1,12.66,13.84,11.7,20.0,25.14,,,,123.18,Failed
Ian Dory,25,M,14.54,6.67,31.69,5.44,25.67,10.63,8.73,17.17,6.77,2.19,6.53,136.03,Completed
Brian Arnold,37,M,15.77,6.67,21.8,9.6,13.43,15.07,14.59,15.74,,,,112.67,Failed
Travis Rosen,41,M,36.24,4.69,21.0,5.57,,,,,,,,67.5,Failed
Neil Craver (NS),,M,,,F,,,,,,,,,,Failed
Dustin Rocho (NS),,M,,,,,F,,,,,,,,Failed
Brian Wilczewski (NS),,M,,,,,,,,,F,,,,Failed
Ryan Stratis,32,M,15.74,11.1,,,,,,,,,,26.84,Failed
Isaac Caldiero,33,M,16.18,8.72,19.67,5.61,10.23,15.83,7.53,22.03,6.47,3.77,8.76,124.8,Completed
Mike Meyers (NS),,M,,,,,,,,,F,,,,Failed
Jeremiah Morgan (NS),,M,,,,,,,,,,,,131.23,Completed
Lance Pekus,28,M,15.14,6.86,18.74,4.44,16.69,12.27,20.66,18.44,,,,113.24,Failed
Kevin Bull,31,M,15.7,7.0,16.64,5.43,19.93,8.2,9.57,18.53,9.8,2.74,7.56,121.1,Completed
Mike Bernardo (NS),,M,,,,,,,,,F,,,,Failed
Karson Volies (NS),,M,,,,,,,,,F,,,,Failed
Flip Rodriguez,26,M,18.87,6.03,23.51,3.33,16.7,14.23,15.83,11.58,,,,110.08,Failed
Pavel Fesyuk (NS),,M,,,F,,,,,,,,,,Failed
Anthony Scott (NS),,M,,,,,F,,,,,,,,Failed
Abel Gonzalez (NS),,M,,,,,,,,,,,,140.56,Completed
Geoff Britten,36,M,15.04,6.89,17.91,3.63,12.43,25.35,18.0,38.69,3.84,3.13,8.22,120.89,Completed
David Yarter (NS),,M,,,,,F,,,,,,,,Failed
JJ Woods (NS),,M,,,,,,,,,F,,,,Failed
Drew Drechsel (NS),,M,,,,,,,,,,,,132.48,Completed
Brent Steffensen,35,M,26.34,11.46,23.24,,,,,,,,,61.04,Failed
Joe Moravsky,26,M,19.31,8.36,17.41,1.42,20.81,14.53,8.5,21.93,4.2,2.46,10.66,129.59,Completed
Jake Murray (NS),,M,,,,,F,,,,,,,,Failed
Sean Clayton (NS),,M,,,,,F,,,,,,,,Failed
Thomas Stillings (NS),,M,,,,,F,,,,,,,,Failed
Jason Williams (NS),,M,,,,,,,,,F,,,,Failed
